paper_id,title,year,venue,doi,url,type,publisher,seed_query,tag,query_hits,queries
1,III. Indo-European Deictic Particles,1931,Language,10.2307/409043,https://doi.org/10.2307/409043,journal-article,Cambridge University Press (CUP),deictic hidden target manipulation,robotics,1,deictic hidden target manipulation
2,DIRECT MANIPULATION OF THE FRACTIONAL ANTICIPATORY GOAL RESPONSE,1958,Psychological Reports,10.2466/pr0.4.7.575-578,https://doi.org/10.2466/pr0.4.7.575-578,journal-article,SAGE Publications,goal occlusion robot manipulation,robotics,1,goal occlusion robot manipulation
3,A CONTROL FOR THE DIRECT MANIPULATION OF THE FRACTIONAL ANTICIPATORY GOAL RESPONSE,1959,Psychological Reports,10.2466/pr0.5.7.753-756,https://doi.org/10.2466/pr0.5.7.753-756,journal-article,SAGE Publications,goal occlusion robot manipulation,robotics,1,goal occlusion robot manipulation
4,A GOAL PROGRAMMING MODEL FOR MANPOWER PLANNING,1967,,10.21236/ad0664501,https://doi.org/10.21236/ad0664501,report,Defense Technical Information Center,disappearing goal planning,robotics,1,disappearing goal planning
5,A goal-directed transportation planning model,1970,Transportation Research,10.1016/0041-1647(70)90141-3,https://doi.org/10.1016/0041-1647(70)90141-3,journal-article,Elsevier BV,disappearing goal planning,robotics,1,disappearing goal planning
6,A goal-directed transportation planning model,1970,Transportation Research,10.1016/0041-1647(70)90154-1,https://doi.org/10.1016/0041-1647(70)90154-1,journal-article,Elsevier BV,disappearing goal planning,robotics,1,disappearing goal planning
7,Optimal economic stabilization policy: Linear goal-interval programming models,1972,Socio-Economic Planning Sciences,10.1016/0038-0121(72)90016-x,https://doi.org/10.1016/0038-0121(72)90016-x,journal-article,Elsevier BV,disappearing goal planning,robotics,1,disappearing goal planning
8,The Role of Deictic Elements in Linguistic Evolution,1972,Semiotica,10.1515/semi.1972.5.2.174,https://doi.org/10.1515/semi.1972.5.2.174,journal-article,Walter de Gruyter GmbH,deictic hidden target manipulation,robotics,1,deictic hidden target manipulation
9,Can State-Administered Programs Achieve the National Goal?,1973,Family Planning Perspectives,10.2307/2133970,https://doi.org/10.2307/2133970,journal-article,JSTOR,disappearing goal planning,robotics,1,disappearing goal planning
10,Factors Affecting the Manipulation of Pieceparts for Automated Assembly,1976,Industrial Robot: An International Journal,10.1108/eb004459,https://doi.org/10.1108/eb004459,journal-article,Emerald,goal occlusion robot manipulation,robotics,1,goal occlusion robot manipulation
11,Functionally optimal occlusion: The goal of orthodontic treatment,1976,American Journal of Orthodontics,10.1016/0002-9416(76)90262-1,https://doi.org/10.1016/0002-9416(76)90262-1,journal-article,Elsevier BV,goal occlusion robot manipulation,robotics,1,goal occlusion robot manipulation
12,Early cognitive development in child and chimpanzee: Object permanence,1976,PsycEXTRA Dataset,10.1037/e668292012-106,https://doi.org/10.1037/e668292012-106,dataset,American Psychological Association (APA),object permanence robot manipulation,robotics,1,object permanence robot manipulation
13,Application of Manipulation,1977,Vertebral Manipulation,10.1016/b978-0-407-43504-9.50012-2,https://doi.org/10.1016/b978-0-407-43504-9.50012-2,book-chapter,Elsevier,hidden goals manipulation,robotics,1,hidden goals manipulation
